name,city,instagram,website,cuisine,followers_approx,already_emailed,contact_form_url,notes,eddy_url
Terry Black's BBQ,Austin,@terryblacks_bbq,terryblacksbbq.com,BBQ,341K,yes,,Iconic Austin BBQ. Multi-location.,
Suerte,Austin,@suerteatx,suerteatx.com,Mexican,51K,yes,,James Beard semifinalist. Masa-focused.,eddy.delivery/restaurant/austin/suerte
Franklin Barbecue,Austin,@franklinbbq,franklinbarbecue.com,BBQ,300K+,yes,,Most famous BBQ in America,eddy.delivery/restaurant/austin/franklin-barbecue
Pinthouse Pizza,Austin,@pinthousepizza,pinthouse.com,Pizza/Brewery,20K+,yes,,Local brewery + pizza chain,eddy.delivery/restaurant/austin/pinthouse-pizza
Veracruz All Natural,Austin,@veracruznaturalATX,veracruzallnatural.com,Tacos,30K+,yes,,Best breakfast tacos in Austin,eddy.delivery/restaurant/austin/veracruz-all-natural
Ramen Tatsu-Ya,Austin,@raboratory,ramen-tatsuya.com,Ramen,40K+,yes,,Popular ramen chain,eddy.delivery/restaurant/austin/ramen-tatsu-ya---east-austin-rtc
Bouldin Creek Cafe,Austin,@bouldincreekcafe,bouldincreekcafe.com,Vegetarian,10K+,yes,,Beloved South Austin spot,eddy.delivery/restaurant/austin/bouldin-creek-cafe
Kerlin BBQ,Austin,@kerlinbbq,kerlinbbq.com,BBQ,15K+,yes,,East Austin BBQ,eddy.delivery/restaurant/austin/kerlin-bbq
Interstellar BBQ,Austin,@interstellarbbq,theinterstellarbbq.com,BBQ,10K+,yes,,Cedar Park BBQ,eddy.delivery/restaurant/austin/interstellar-bbq
Odd Duck,Austin,@oddduckatx,oddduckatx.com,American,35K+,no,,Farm-to-table. James Beard finalist.,
Loro,Austin,@loroeats,loroeats.com,Asian BBQ,25K+,no,,Aaron Franklin + Tyson Cole collab,eddy.delivery/restaurant/austin/loro
Uchi Austin,Austin,@uchiaustin,uchirestaurants.com,Japanese,50K+,no,,Michelin-level sushi,
Uchiko,Austin,@uchikoaustin,uchirestaurants.com,Japanese,30K+,no,,Sister restaurant to Uchi,
La Barbecue,Austin,@labarbecue,labarbecueaustin.com,BBQ,40K+,no,,Top 3 Austin BBQ,eddy.delivery/restaurant/austin/la-barbecue
Clark's Oyster Bar,Austin,@clarksaustin,clarksaustin.com,Seafood,15K+,no,,McGuire Moorman hospitality,
Emmer & Rye,Austin,@emmerandrye,emmerandrye.com,American,15K+,no,,James Beard nominated,
Home Slice Pizza,Austin,@homeslicepizza,homeslicepizza.com,Pizza,20K+,no,,Austin institution,eddy.delivery/restaurant/austin/home-slice-pizza
Comedor,Austin,@comedoratx,comedoratx.com,Mexican,12K+,no,,Upscale Mexican downtown,eddy.delivery/restaurant/austin/comedor-austin
Kemuri Tatsu-Ya,Austin,@kemuri_tatsuyaatx,kemuri-tatsuya.com,Japanese BBQ,15K+,no,,Unique Japanese smokehouse,
Fresa's,Austin,@fresasaustin,fresaschicken.com,Mexican,8K+,no,,Wood-grilled chicken. Great patio.,
Lao'd Bar,Austin,@laodbar,laodbar.com,Lao,5K+,no,,Hot new spot 2025,
Craft Meats,Austin,@craftmeats,craftmeatsaustin.com,BBQ,3K+,no,,New BBQ contender 2025,
Olamaie,Austin,@olamaie,olamaie.com,Southern,20K+,no,,Michelin star contender,
Josephine House,Austin,@josephinehouse,josephineofaustin.com,American,15K+,yes,,Charming brunch spot,
Launderette,Austin,@launderetteaustin,launderetteaustin.com,American,18K+,no,,East Austin favorite,
ATX Cocina,Austin,@atxcocina,atxcocina.com,Mexican,10K+,no,,Modern Mexican,
Sway,Austin,@swayaustin,swayaustin.com,Thai,12K+,no,,Upscale Thai,
Nixta Taqueria,Austin,@nixtataqueria,nixtataqueria.com,Mexican,15K+,no,,James Beard Award winner 2023,
El Alma,Austin,@elalmacafe,elalmacafe.com,Mexican,8K+,no,,Rooftop Mexican,
Red Ash,Austin,@redashitalia,redashgrille.com,Italian,10K+,no,,Downtown Italian,
Hank's,Austin,@hanksaustin,hanksaustin.com,American,8K+,no,,Upscale cocktails + food,
Aba Austin,Austin,@abaaustin,abarestaurants.com,Mediterranean,12K+,yes,,Lettuce Entertain You group,eddy.delivery/restaurant/austin/aba-austin
QI Austin,Austin,@qi_austin,qiaustin.com,Asian,8K+,no,,Trendy Asian spot,eddy.delivery/restaurant/austin/qi-austin
Honey Moon Spirit Lounge,Austin,@honeymoonaustin,honeymoonaustin.com,Cocktails,5K+,no,,Cocktail bar + food,
Counter Cafe,Austin,@countercafe,countercafe.com,American,5K+,yes,,Breakfast spot,eddy.delivery/restaurant/austin/counter-cafe
Leroy and Lewis,Austin,@leroyandlewis,leroyandlewis.com,BBQ,15K+,no,,New school BBQ,
Neighborhood Sushi,Austin,@neighborhoodsushi,neighborhoodsushi.com,Sushi,8K+,no,,Affordable sushi,
Grizzeldas,Austin,@grizzeldas,grizzeldas.com,Mexican,5K+,yes,,Tex-Mex,eddy.delivery/restaurant/austin/grizzeldas
Dai Due,Austin,@daidue,daidue.com,American,12K+,no,,Butcher shop + restaurant,
Via 313,Austin,@via313,via313.com,Pizza,25K+,no,,Detroit-style pizza,eddy.delivery/restaurant/austin/via-313-east-side
Matt's El Rancho,Austin,@mattselrancho,mattselrancho.com,Tex-Mex,10K+,no,,Austin institution since 1952,
Fonda San Miguel,Austin,@fondasanmiguel,fondasanmiguel.com,Mexican,8K+,no,,Interior Mexican cuisine,
La Condesa,Austin,@lacondesaaustin,lacondesaaustin.com,Mexican,15K+,no,,Modern Mexican,
Tso Chinese Delivery,Austin,@tsochinese,tsochinese.com,Chinese,5K+,yes,,Delivery-first. Perfect Eddy target.,eddy.delivery/restaurant/austin/tso-chinese-delivery
Lucky Robot,Austin,@luckyrobotatx,luckyrobotatx.com,Japanese,5K+,yes,,South Lamar sushi,eddy.delivery/restaurant/austin/lucky-robot
Pueblo Viejo,Austin,@puebloviejoaustin,puebloviejoaustin.com,Mexican,3K+,yes,,Food truck to brick & mortar,eddy.delivery/restaurant/austin/pueblo-viejo
Halal Bros,Austin,@thehalalbros,thehalalbros.com,Halal,5K+,yes,,Halal street food,eddy.delivery/restaurant/austin/halal-bros
Flyrite Chicken,Austin,@flyritechicken,flyritechicken.com,Chicken,3K+,yes,,Fast casual chicken,eddy.delivery/restaurant/austin/flyrite-chicken
Bamboo Bistro,Austin,@bamboobistroatx,bamboobistroonline.com,Asian,3K+,yes,,Asian fusion,eddy.delivery/restaurant/austin/bamboo-bistro---austin-tx-78745-menu-and-order-online
Le Diplomate,Washington DC,@lediplomatedc,lediplomatedc.com,French,53K,no,,DC institution. Stephen Starr.,eddy.delivery/restaurant/dc/le-diplomate
Founding Farmers,Washington DC,@foundingfarmers,wearefoundingfarmers.com,American,39K,no,,Farmer-owned. Multiple locations.,eddy.delivery/restaurant/dc/founding-farmers
